AL, D1, 2010080106, 01, CARQ, -24,  86N,  332W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP03, 150, 210N,  480W,  51,  996, XX,  34, NEQ,  185,  180,  118,  151, 
AL, D1, 2010090806, 03, AP03, 150, 210N,  480W,  51,  996, XX,  50, NEQ,  128,    0,    0,    0, 
AL, D1, 2010090806, 03, AP03, 156, 218N,  484W,  55,  993, XX,  34, NEQ,  187,  183,  126,  142, 
AL, D1, 2010090806, 03, AP03, 156, 218N,  484W,  55,  993, XX,  50, NEQ,  115,    0,    0,   81, 
AL, D1, 2010090806, 03, AP03, 162, 220N,  490W,  56,  993, XX,  34, NEQ,  208,  180,  126,  158, 
AL, D1, 2010090806, 03, AP03, 162, 220N,  490W,  56,  993, XX,  50, NEQ,  139,    0,    0,  121, 
AL, D1, 2010090806, 03, AP03, 168, 222N,  493W,  52,  990, XX,  34, NEQ,  211,  182,  155,  187, 
AL, D1, 2010090806, 03, AP03, 168, 222N,  493W,  52,  990, XX,  50, NEQ,  131,    0,    0,    0, 
AL, D1, 2010090806, 03, AP03, 174, 229N,  499W,  64,  989, XX,  34, NEQ,  225,  201,  144,  187, 
AL, D1, 2010090806, 03, AP03, 174, 229N,  499W,  64,  989, XX,  50, NEQ,  129,    0,    0,   90, 
AL, D1, 2010090806, 03, AP03, 174, 229N,  499W,  64,  989, XX,  64, NEQ,   83,    0,    0,    0, 
AL, D1, 2010090806, 03, AP03, 180, 232N,  507W,  56,  986, XX,  34, NEQ,  230,  207,  131,  174, 
AL, D1, 2010090806, 03, AP03, 180, 232N,  507W,  56,  986, XX,  50, NEQ,  154,  103,   74,  115, 
AL, D1, 2010090806, 03, AP03, 186, 238N,  509W,  64,  985, XX,  34, NEQ,  214,  170,  147,  196, 
AL, D1, 2010090806, 03, AP03, 186, 238N,  509W,  64,  985, XX,  50, NEQ,  127,  116,    0,  108, 
AL, D1, 2010090806, 03, AP03, 186, 238N,  509W,  64,  985, XX,  64, NEQ,   54,    0,    0,    0, 
AL, D1, 2010090806, 03, AP03, 192, 242N,  517W,  66,  984, XX,  34, NEQ,  230,  224,  135,  177, 
AL, D1, 2010090806, 03, AP03, 192, 242N,  517W,  66,  984, XX,  50, NEQ,  152,  114,   73,  115, 
AL, D1, 2010090806, 03, AP03, 192, 242N,  517W,  66,  984, XX,  64, NEQ,  107,    0,    0,    0, 
AL, D1, 2010090806, 03, AP03, 198, 251N,  521W,  65,  982, XX,  34, NEQ,  231,  228,  149,  188, 
AL, D1, 2010090806, 03, AP03, 198, 251N,  521W,  65,  982, XX,  50, NEQ,  149,  115,  105,   98, 
AL, D1, 2010090806, 03, AP03, 198, 251N,  521W,  65,  982, XX,  64, NEQ,   84,    0,    0,    0, 
AL, D1, 2010090806, 03, AP03, 204, 261N,  528W,  65,  982, XX,  34, NEQ,  234,  220,  141,  188, 
AL, D1, 2010090806, 03, AP03, 204, 261N,  528W,  65,  982, XX,  50, NEQ,  150,  118,   83,  118, 
AL, D1, 2010090806, 03, AP03, 204, 261N,  528W,  65,  982, XX,  64, NEQ,   86,    0,    0,    0, 
AL, D1, 2010090806, 03, AP03, 210, 273N,  531W,  63,  979, XX,  34, NEQ,  274,  236,  155,  196, 
AL, D1, 2010090806, 03, AP03, 210, 273N,  531W,  63,  979, XX,  50, NEQ,  154,  121,  107,  124, 
AL, D1, 2010090806, 03, AP03, 216, 283N,  535W,  68,  979, XX,  34, NEQ,  244,  251,  185,  187, 
AL, D1, 2010090806, 03, AP03, 216, 283N,  535W,  68,  979, XX,  50, NEQ,  141,  135,   81,  128, 
AL, D1, 2010090806, 03, AP03, 216, 283N,  535W,  68,  979, XX,  64, NEQ,   95,   91,    0,    0, 
AL, D1, 2010090806, 03, AP03, 222, 297N,  545W,  63,  980, XX,  34, NEQ,  245,  256,  143,  210, 
AL, D1, 2010090806, 03, AP03, 222, 297N,  545W,  63,  980, XX,  50, NEQ,  137,  142,   93,  117, 
AL, D1, 2010090806, 03, AP03, 228, 310N,  549W,  58,  978, XX,  34, NEQ,  259,  281,  147,  210, 
AL, D1, 2010090806, 03, AP03, 228, 310N,  549W,  58,  978, XX,  50, NEQ,  120,  145,  120,  134, 
AL, D1, 2010090806, 03, AP03, 234, 320N,  549W,  64,  979, XX,  34, NEQ,  230,  199,  171,  217, 
AL, D1, 2010090806, 03, AP03, 234, 320N,  549W,  64,  979, XX,  50, NEQ,  121,  126,   73,  114, 
AL, D1, 2010090806, 03, AP03, 240, 336N,  550W,  60,  979, XX,  34, NEQ,  202,  298,  162,  177, 
AL, D1, 2010090806, 03, AP03, 240, 336N,  550W,  60,  979, XX,  50, NEQ,  118,  140,    0,   94, 
AL, D1, 2010090806, 03, AP04,   0, 139N,  222W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,   6, 136N,  232W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,  12, 135N,  244W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,  18, 138N,  260W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,  24, 136N,  272W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,  30, 131N,  288W,  31, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,  36, 131N,  291W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,  42, 138N,  298W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,  48, 143N,  307W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,  54, 150N,  320W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,  60, 151N,  334W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,  66, 159N,  348W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,  72, 161N,  362W,  28, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,  78, 168N,  378W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,  84, 170N,  390W,  27, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,  90, 170N,  401W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04,  96, 171N,  411W,  28, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04, 102, 178N,  421W,  31, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04, 108, 184N,  433W,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04, 114, 187N,  444W,  29, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04, 120, 188N,  455W,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04, 126, 190N,  465W,  33, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04, 132, 196N,  474W,  35, 1002, XX,  34, NEQ,  139,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04, 138, 199N,  484W,  34, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04, 144, 199N,  498W,  38, 1001, XX,  34, NEQ,  182,    0,    0,  125, 
AL, D1, 2010090806, 03, AP04, 150, 201N,  508W,  41, 1002, XX,  34, NEQ,  161,  120,    0,  118, 
AL, D1, 2010090806, 03, AP04, 156, 206N,  519W,  43, 1000, XX,  34, NEQ,  149,  124,    0,   83, 
AL, D1, 2010090806, 03, AP04, 162, 208N,  531W,  43, 1001, XX,  34, NEQ,  149,  133,    0,  143, 
AL, D1, 2010090806, 03, AP04, 168, 208N,  542W,  44,  998, XX,  34, NEQ,  147,  140,    0,  142, 
AL, D1, 2010090806, 03, AP04, 174, 207N,  553W,  44,  999, XX,  34, NEQ,  157,  135,    0,  146, 
AL, D1, 2010090806, 03, AP04, 180, 209N,  561W,  44,  999, XX,  34, NEQ,  155,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04, 186, 210N,  570W,  41,  999, XX,  34, NEQ,  159,    0,    0,  156, 
AL, D1, 2010090806, 03, AP04, 192, 210N,  580W,  41,  998, XX,  34, NEQ,  165,    0,    0,  163, 
AL, D1, 2010090806, 03, AP04, 198, 210N,  591W,  39,  999, XX,  34, NEQ,  157,  117,    0,  139, 
AL, D1, 2010090806, 03, AP04, 204, 214N,  602W,  40,  998, XX,  34, NEQ,  153,  128,    0,  124, 
AL, D1, 2010090806, 03, AP04, 210, 214N,  615W,  40, 1001, XX,  34, NEQ,  179,    0,    0,  124, 
AL, D1, 2010090806, 03, AP04, 216, 212N,  627W,  34, 1000, XX,  34, NEQ,  145,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04, 222, 214N,  634W,  35, 1002, XX,  34, NEQ,  132,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04, 228, 218N,  642W,  35, 1002, XX,  34, NEQ,  134,    0,    0,    0, 
AL, D1, 2010090806, 03, AP04, 234, 220N,  646W,  37, 1002, XX,  34, NEQ,  136,  103,    0,  135, 
AL, D1, 2010090806, 03, AP04, 240, 228N,  659W,  44, 1001, XX,  34, NEQ,  137,  118,    0,  100, 
AL, D1, 2010090806, 03, AP05,   0, 139N,  221W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,   6, 138N,  232W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,  12, 137N,  244W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,  18, 133N,  255W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,  24, 131N,  266W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,  30, 131N,  276W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,  36, 131N,  286W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,  42, 131N,  299W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,  48, 135N,  312W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,  54, 139N,  327W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,  60, 142N,  339W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,  66, 149N,  348W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,  72, 154N,  360W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,  78, 159N,  378W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,  84, 164N,  389W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,  90, 168N,  401W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05,  96, 169N,  419W,  28, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05, 102, 168N,  432W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05, 108, 172N,  443W,  34, 1002, XX,  34, NEQ,    0,  108,    0,    0, 
AL, D1, 2010090806, 03, AP05, 114, 177N,  456W,  34, 1004, XX,  34, NEQ,  121,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05, 120, 179N,  469W,  36,  999, XX,  34, NEQ,  124,  122,    0,  125, 
AL, D1, 2010090806, 03, AP05, 126, 181N,  479W,  43, 1000, XX,  34, NEQ,  163,  129,   73,  118, 
AL, D1, 2010090806, 03, AP05, 132, 187N,  492W,  45,  998, XX,  34, NEQ,  160,   97,   63,   98, 
AL, D1, 2010090806, 03, AP05, 138, 189N,  499W,  50,  998, XX,  34, NEQ,  127,  125,  119,  131, 
AL, D1, 2010090806, 03, AP05, 144, 191N,  510W,  59,  995, XX,  34, NEQ,  165,  127,   62,  137, 
AL, D1, 2010090806, 03, AP05, 144, 191N,  510W,  59,  995, XX,  50, NEQ,  107,   61,    0,    0, 
AL, D1, 2010090806, 03, AP05, 150, 193N,  520W,  52,  997, XX,  34, NEQ,  173,  135,   95,  128, 
AL, D1, 2010090806, 03, AP05, 150, 193N,  520W,  52,  997, XX,  50, NEQ,  119,    0,    0,  101, 
AL, D1, 2010090806, 03, AP05, 156, 199N,  529W,  54,  995, XX,  34, NEQ,  164,  122,   95,  133, 
AL, D1, 2010090806, 03, AP05, 156, 199N,  529W,  54,  995, XX,  50, NEQ,   98,    0,    0,   72, 
AL, D1, 2010090806, 03, AP05, 162, 200N,  532W,  59,  995, XX,  34, NEQ,  151,  135,  116,  145, 
AL, D1, 2010090806, 03, AP05, 162, 200N,  532W,  59,  995, XX,  50, NEQ,  103,   76,    0,   92, 
AL, D1, 2010090806, 03, AP05, 168, 202N,  542W,  56,  992, XX,  34, NEQ,  170,  144,  115,  144, 
AL, D1, 2010090806, 03, AP05, 168, 202N,  542W,  56,  992, XX,  50, NEQ,  116,    0,    0,   80, 
AL, D1, 2010090806, 03, AP05, 174, 200N,  550W,  52,  994, XX,  34, NEQ,  197,  120,  121,  191, 
AL, D1, 2010090806, 03, AP05, 174, 200N,  550W,  52,  994, XX,  50, NEQ,   83,    0,   68,    0, 
AL, D1, 2010090806, 03, AP05, 180, 200N,  551W,  61,  991, XX,  34, NEQ,  148,  120,   99,  163, 
AL, D1, 2010090806, 03, AP05, 180, 200N,  551W,  61,  991, XX,  50, NEQ,   97,   84,    0,   98, 
AL, D1, 2010090806, 03, AP05, 186, 203N,  554W,  57,  993, XX,  34, NEQ,  183,  137,  112,  146, 
AL, D1, 2010090806, 03, AP05, 186, 203N,  554W,  57,  993, XX,  50, NEQ,  101,   82,    0,   84, 
AL, D1, 2010090806, 03, AP05, 192, 207N,  559W,  57,  989, XX,  34, NEQ,  179,  179,  123,  138, 
AL, D1, 2010090806, 03, AP05, 192, 207N,  559W,  57,  989, XX,  50, NEQ,  110,   80,    0,   90, 
AL, D1, 2010090806, 03, AP05, 198, 209N,  562W,  59,  990, XX,  34, NEQ,  177,  158,  130,  146, 
AL, D1, 2010090806, 03, AP05, 198, 209N,  562W,  59,  990, XX,  50, NEQ,  104,   86,    0,   95, 
AL, D1, 2010090806, 03, AP05, 204, 211N,  562W,  59,  986, XX,  34, NEQ,  177,  136,  155,  185, 
AL, D1, 2010090806, 03, AP05, 204, 211N,  562W,  59,  986, XX,  50, NEQ,  106,   94,   83,   98, 
AL, D1, 2010090806, 03, AP05, 210, 217N,  564W,  65,  987, XX,  34, NEQ,  195,  185,  123,  172, 
AL, D1, 2010090806, 03, AP05, 210, 217N,  564W,  65,  987, XX,  50, NEQ,  121,   97,    0,   98, 
AL, D1, 2010090806, 03, AP05, 210, 217N,  564W,  65,  987, XX,  64, NEQ,   86,    0,    0,    0, 
AL, D1, 2010090806, 03, AP05, 216, 219N,  569W,  61,  982, XX,  34, NEQ,  195,  161,  125,  190, 
AL, D1, 2010090806, 03, AP05, 216, 219N,  569W,  61,  982, XX,  50, NEQ,  107,   98,   86,   96, 
AL, D1, 2010090806, 03, AP05, 222, 222N,  568W,  63,  986, XX,  34, NEQ,  202,  160,  128,  183, 
AL, D1, 2010090806, 03, AP05, 222, 222N,  568W,  63,  986, XX,  50, NEQ,  118,  108,   78,  106, 
AL, D1, 2010090806, 03, AP05, 228, 230N,  570W,  61,  984, XX,  34, NEQ,  179,  178,  125,  154, 
AL, D1, 2010090806, 03, AP05, 228, 230N,  570W,  61,  984, XX,  50, NEQ,  106,   59,    0,   91, 
AL, D1, 2010090806, 03, AP05, 234, 234N,  568W,  55,  986, XX,  34, NEQ,  172,  173,  142,  162, 
AL, D1, 2010090806, 03, AP05, 234, 234N,  568W,  55,  986, XX,  50, NEQ,  111,  104,    0,  105, 
AL, D1, 2010090806, 03, AP05, 240, 239N,  569W,  59,  982, XX,  34, NEQ,  190,  176,  138,  141, 
AL, D1, 2010090806, 03, AP05, 240, 239N,  569W,  59,  982, XX,  50, NEQ,  124,    0,    0,   92, 
AL, D1, 2010090806, 03, AP06,   0, 139N,  221W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,   6, 138N,  231W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,  12, 137N,  242W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,  18, 135N,  253W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,  24, 131N,  264W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,  30, 130N,  282W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,  36, 130N,  294W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,  42, 131N,  301W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,  48, 138N,  310W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,  54, 145N,  327W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,  60, 147N,  344W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,  66, 153N,  354W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,  72, 151N,  372W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,  78, 153N,  381W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,  84, 162N,  391W,  19, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,  90, 167N,  408W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06,  96, 167N,  422W,  23, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06, 102, 169N,  430W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06, 108, 174N,  436W,  32, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06, 114, 181N,  447W,  28, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06, 120, 179N,  458W,  31, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06, 126, 183N,  467W,  33, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06, 132, 190N,  474W,  31, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06, 138, 193N,  480W,  36, 1004, XX,  34, NEQ,  156,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06, 144, 199N,  484W,  36, 1001, XX,  34, NEQ,  153,    0,    0,    0, 
AL, D1, 2010090806, 03, AP06, 150, 206N,  491W,  42, 1003, XX,  34, NEQ,  145,  140,    0,  100, 
AL, D1, 2010090806, 03, AP06, 156, 210N,  499W,  40, 1000, XX,  34, NEQ,  159,  124,    0,  124, 
AL, D1, 2010090806, 03, AP06, 162, 215N,  503W,  46, 1001, XX,  34, NEQ,  157,  137,    0,  136, 
AL, D1, 2010090806, 03, AP06, 168, 219N,  512W,  48,  999, XX,  34, NEQ,  166,  132,    0,  143, 
AL, D1, 2010090806, 03, AP06, 174, 221N,  522W,  47, 1000, XX,  34, NEQ,  171,  126,    0,  152, 
AL, D1, 2010090806, 03, AP06, 180, 227N,  533W,  46,  999, XX,  34, NEQ,  166,   82,    0,  133, 
AL, D1, 2010090806, 03, AP06, 186, 230N,  540W,  47,  999, XX,  34, NEQ,  164,    0,    0,  150, 
AL, D1, 2010090806, 03, AP06, 192, 230N,  550W,  45,  997, XX,  34, NEQ,  166,    0,    0,  152, 
AL, D1, 2010090806, 03, AP06, 198, 232N,  560W,  45,  998, XX,  34, NEQ,  183,  112,    0,  166, 
AL, D1, 2010090806, 03, AP06, 204, 238N,  569W,  45,  997, XX,  34, NEQ,  170,  115,    0,  136, 
AL, D1, 2010090806, 03, AP06, 210, 238N,  572W,  46,  997, XX,  34, NEQ,  147,    0,    0,  171, 
AL, D1, 2010090806, 03, AP06, 216, 238N,  581W,  47,  996, XX,  34, NEQ,  175,    0,    0,  151, 
AL, D1, 2010090806, 03, AP06, 222, 239N,  591W,  41,  997, XX,  34, NEQ,  174,    0,    0,  146, 
AL, D1, 2010090806, 03, AP06, 228, 239N,  598W,  42,  997, XX,  34, NEQ,  164,    0,    0,  162, 
AL, D1, 2010090806, 03, AP06, 234, 239N,  605W,  46,  997, XX,  34, NEQ,  163,    0,    0,  158, 
AL, D1, 2010090806, 03, AP06, 240, 236N,  618W,  40,  995, XX,  34, NEQ,  186,    0,    0,  161, 
AL, D1, 2010090806, 03, AP07,   0, 138N,  221W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,   6, 133N,  231W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,  12, 130N,  244W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,  18, 128N,  256W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,  24, 124N,  263W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,  30, 122N,  268W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,  36, 123N,  277W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,  42, 130N,  278W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,  48, 146N,  278W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,  54, 153N,  291W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,  60, 157N,  306W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,  66, 159N,  319W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,  72, 160N,  333W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,  78, 162N,  346W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,  84, 166N,  356W,  27, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,  90, 168N,  363W,  28, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07,  96, 170N,  372W,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07, 102, 173N,  384W,  32, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07, 108, 179N,  391W,  32, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07, 114, 180N,  397W,  33, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07, 120, 185N,  402W,  38, 1000, XX,  34, NEQ,  166,  133,    0,    0, 
AL, D1, 2010090806, 03, AP07, 126, 190N,  411W,  39, 1002, XX,  34, NEQ,  168,  132,    0,    0, 
AL, D1, 2010090806, 03, AP07, 132, 195N,  419W,  39, 1000, XX,  34, NEQ,  160,  118,    0,    0, 
AL, D1, 2010090806, 03, AP07, 138, 199N,  421W,  38, 1002, XX,  34, NEQ,  185,   87,    0,    0, 
AL, D1, 2010090806, 03, AP07, 144, 208N,  427W,  44, 1000, XX,  34, NEQ,  159,  112,    0,  136, 
AL, D1, 2010090806, 03, AP07, 150, 216N,  438W,  45, 1002, XX,  34, NEQ,  177,  145,    0,  144, 
AL, D1, 2010090806, 03, AP07, 156, 220N,  447W,  42,  999, XX,  34, NEQ,  197,    0,    0,  125, 
AL, D1, 2010090806, 03, AP07, 162, 227N,  451W,  43, 1002, XX,  34, NEQ,  169,  127,    0,   95, 
AL, D1, 2010090806, 03, AP07, 168, 233N,  456W,  44, 1000, XX,  34, NEQ,  175,  149,    0,  121, 
AL, D1, 2010090806, 03, AP07, 174, 239N,  467W,  46, 1001, XX,  34, NEQ,  194,  109,    0,  126, 
AL, D1, 2010090806, 03, AP07, 180, 243N,  476W,  43,  999, XX,  34, NEQ,  173,    0,    0,  128, 
AL, D1, 2010090806, 03, AP07, 186, 243N,  485W,  43, 1001, XX,  34, NEQ,  216,    0,    0,  125, 
AL, D1, 2010090806, 03, AP07, 192, 243N,  495W,  37,  999, XX,  34, NEQ,  166,    0,    0,  111, 
AL, D1, 2010090806, 03, AP07, 198, 247N,  502W,  42, 1001, XX,  34, NEQ,  184,    0,    0,   87, 
AL, D1, 2010090806, 03, AP07, 204, 252N,  512W,  40, 1000, XX,  34, NEQ,  135,    0,    0,  125, 
AL, D1, 2010090806, 03, AP07, 210, 258N,  521W,  41, 1001, XX,  34, NEQ,  145,    0,    0,   97, 
AL, D1, 2010090806, 03, AP07, 216, 259N,  531W,  39, 1000, XX,  34, NEQ,  170,    0,    0,    0, 
AL, D1, 2010090806, 03, AP07, 222, 263N,  542W,  38, 1000, XX,  34, NEQ,  122,    0,    0,  136, 
AL, D1, 2010090806, 03, AP07, 228, 268N,  550W,  40,  997, XX,  34, NEQ,  145,    0,    0,  142, 
AL, D1, 2010090806, 03, AP07, 234, 270N,  555W,  39,  998, XX,  34, NEQ,  145,    0,  133,  124, 
AL, D1, 2010090806, 03, AP07, 240, 273N,  560W,  38,  994, XX,  34, NEQ,  112,  119,    0,  115, 
AL, D1, 2010090806, 03, AP08,   0, 138N,  224W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP08,   6, 139N,  237W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP08,  12, 140N,  249W,  28, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP08,  18, 140N,  260W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP08,  24, 140N,  272W,  29, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, AP08,  30, 140N,  289W,  32, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
