AL, C3, 2010080600, 01, CARQ, -24, 115N,  367W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, GFDT,  72, 379N,  467W,  71,  996, XX,  64, NEQ,   35,   45,    0,    0, 
AL, C3, 2010081100, 03, GFDT,  78, 398N,  443W,  73,  995, XX,  34, NEQ,   93,  124,  119,   62, 
AL, C3, 2010081100, 03, GFDT,  78, 398N,  443W,  73,  995, XX,  50, NEQ,   54,   66,   49,   35, 
AL, C3, 2010081100, 03, GFDT,  78, 398N,  443W,  73,  995, XX,  64, NEQ,   32,   40,    0,    0, 
AL, C3, 2010081100, 03, GFDT,  84, 417N,  415W,  69,  994, XX,  34, NEQ,   99,  122,   90,  133, 
AL, C3, 2010081100, 03, GFDT,  84, 417N,  415W,  69,  994, XX,  50, NEQ,   54,   67,   59,   46, 
AL, C3, 2010081100, 03, GFDT,  84, 417N,  415W,  69,  994, XX,  64, NEQ,   24,   45,   40,    0, 
AL, C3, 2010081100, 03, GFDT,  90, 433N,  388W,  62,  994, XX,  34, NEQ,  100,  129,  111,   67, 
AL, C3, 2010081100, 03, GFDT,  90, 433N,  388W,  62,  994, XX,  50, NEQ,   44,   68,   59,   34, 
AL, C3, 2010081100, 03, GFDT,  96, 447N,  361W,  52,  998, XX,  34, NEQ,  106,  117,  112,   80, 
AL, C3, 2010081100, 03, GFDT,  96, 447N,  361W,  52,  998, XX,  50, NEQ,    0,   58,    0,    0, 
AL, C3, 2010081100, 03, GFDT, 102, 463N,  338W,  46, 1000, XX,  34, NEQ,  106,  141,  133,  110, 
AL, C3, 2010081100, 03, GFDT, 108, 482N,  316W,  43, 1002, XX,  34, NEQ,  128,  176,  134,   92, 
AL, C3, 2010081100, 03, GFDT, 114, 506N,  293W,  43, 1000, XX,  34, NEQ,  128,  218,  154,    0, 
AL, C3, 2010081100, 03, GFDT, 120, 533N,  268W,  43, 1002, XX,  34, NEQ,  134,  251,  127,    0, 
AL, C3, 2010081100, 03, GFTI,   0, 246N,  526W,  30,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, GFTI,  12, 260N,  526W,  38,    0,   ,  34, NEQ,   37,   29,   19,   23, 
AL, C3, 2010081100, 03, GFTI,  24, 276N,  526W,  44,    0,   ,  34, NEQ,   58,   36,   47,   45, 
AL, C3, 2010081100, 03, GFTI,  36, 296N,  526W,  49,    0,   ,  34, NEQ,   67,   29,   67,   51, 
AL, C3, 2010081100, 03, GFTI,  48, 320N,  521W,  55,    0,   ,  34, NEQ,   67,   48,   82,   52, 
AL, C3, 2010081100, 03, GFTI,  48, 320N,  521W,  55,    0,   ,  50, NEQ,   58,   28,   48,   29, 
AL, C3, 2010081100, 03, GFTI,  60, 350N,  505W,  66,    0,   ,  34, NEQ,   70,   59,   95,   55, 
AL, C3, 2010081100, 03, GFTI,  60, 350N,  505W,  66,    0,   ,  50, NEQ,   62,   35,   56,   42, 
AL, C3, 2010081100, 03, GFTI,  60, 350N,  505W,  66,    0,   ,  64, NEQ,   35,   21,   18,    0, 
AL, C3, 2010081100, 03, GFTI,  72, 383N,  476W,  69,    0,   ,  34, NEQ,   64,   63,  104,   67, 
AL, C3, 2010081100, 03, GFTI,  72, 383N,  476W,  69,    0,   ,  50, NEQ,   56,   37,   57,   46, 
AL, C3, 2010081100, 03, GFTI,  72, 383N,  476W,  69,    0,   ,  64, NEQ,   39,   22,   14,   11, 
AL, C3, 2010081100, 03, GFTI,  84, 417N,  435W,  62,    0,   ,  34, NEQ,   71,   68,  116,  122, 
AL, C3, 2010081100, 03, GFTI,  84, 417N,  435W,  62,    0,   ,  50, NEQ,   54,   40,   58,   53, 
AL, C3, 2010081100, 03, GFTI,  96, 449N,  387W,  54,    0,   ,  34, NEQ,   82,   82,  157,  155, 
AL, C3, 2010081100, 03, GFTI,  96, 449N,  387W,  54,    0,   ,  50, NEQ,   34,   49,   67,   59, 
AL, C3, 2010081100, 03, GFTI, 108, 483N,  336W,  59,    0,   ,  34, NEQ,  125,  120,  188,  152, 
AL, C3, 2010081100, 03, GFTI, 108, 483N,  336W,  59,    0,   ,  50, NEQ,   19,  103,   76,   75, 
AL, C3, 2010081100, 03, GFTI, 120, 526N,  284W,  52,    0,   ,  34, NEQ,  183,  175,  213,  121, 
AL, C3, 2010081100, 03, GFTI, 120, 526N,  284W,  52,    0,   ,  50, NEQ,    0,  115,  102,   87, 
AL, C3, 2010081100, 03, GHMI,   0, 246N,  526W,  30,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, GHMI,  12, 259N,  526W,  38,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, GHMI,  24, 277N,  526W,  48,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, GHMI,  36, 297N,  525W,  59,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, GHMI,  48, 322N,  520W,  65,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, GHMI,  60, 351N,  504W,  74,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, GHMI,  72, 385N,  476W,  76,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, GHMI,  84, 418N,  435W,  69,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, GHMI,  96, 449N,  386W,  59,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, GHMI, 108, 483N,  334W,  64,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, GHMI, 120, 527N,  284W,  60,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, GHMI, 132, 579N,  234W,  47,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, HWFI,   0, 246N,  526W,  30,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, HWFI,  12, 258N,  526W,  28,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, HWFI,  24, 272N,  524W,  30,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, HWFI,  36, 291N,  522W,  32,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, HWFI,  48, 314N,  517W,  35,    0,   ,  34, NEQ,   27,   88,   20,    0, 
AL, C3, 2010081100, 03, HWFI,  60, 343N,  503W,  42,    0,   ,  34, NEQ,   79,  121,   45,   14, 
AL, C3, 2010081100, 03, HWFI,  72, 378N,  479W,  50,    0,   ,  34, NEQ,  106,  134,   73,   42, 
AL, C3, 2010081100, 03, HWFI,  72, 378N,  479W,  50,    0,   ,  50, NEQ,   32,   37,    4,    4, 
AL, C3, 2010081100, 03, HWFI,  84, 416N,  440W,  57,    0,   ,  34, NEQ,  102,  139,   80,   65, 
AL, C3, 2010081100, 03, HWFI,  84, 416N,  440W,  57,    0,   ,  50, NEQ,   44,   62,   30,   27, 
AL, C3, 2010081100, 03, HWFI,  96, 453N,  391W,  51,    0,   ,  34, NEQ,  101,  146,   99,   86, 
AL, C3, 2010081100, 03, HWFI,  96, 453N,  391W,  51,    0,   ,  50, NEQ,   28,   46,   17,   16, 
AL, C3, 2010081100, 03, HWFI, 108, 492N,  343W,  41,    0,   ,  34, NEQ,  141,  197,  115,   87, 
AL, C3, 2010081100, 03, HWFI, 120, 535N,  301W,  39,    0,   ,  34, NEQ,  207,  248,  102,    0, 
AL, C3, 2010081100, 03, HWFI, 132, 582N,  265W,  43,    0,   ,  34, NEQ,  298,  297,   57,    0, 
AL, C3, 2010081100, 03, HWRF,   0, 245N,  526W,  30, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, HWRF,   6, 251N,  527W,  30, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, HWRF,  12, 257N,  524W,  30, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, HWRF,  18, 269N,  521W,  34, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, HWRF,  24, 275N,  519W,  32, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, HWRF,  30, 283N,  519W,  35, 1002, XX,  34, NEQ,   73,    0,   52,    0, 
AL, C3, 2010081100, 03, HWRF,  36, 292N,  517W,  36, 1003, XX,  34, NEQ,   77,   83,    0,    0, 
AL, C3, 2010081100, 03, HWRF,  42, 304N,  516W,  38, 1001, XX,  34, NEQ,    0,  105,   56,    0, 
AL, C3, 2010081100, 03, HWRF,  48, 316N,  511W,  45, 1002, XX,  34, NEQ,   82,   91,   56,    0, 
AL, C3, 2010081100, 03, HWRF,  54, 328N,  504W,  42, 1000, XX,  34, NEQ,   85,  100,   86,    0, 
AL, C3, 2010081100, 03, HWRF,  60, 345N,  497W,  43, 1000, XX,  34, NEQ,  111,  121,   47,    0, 
AL, C3, 2010081100, 03, HWRF,  66, 363N,  486W,  51,  997, XX,  34, NEQ,  115,  125,   67,    0, 
AL, C3, 2010081100, 03, HWRF,  66, 363N,  486W,  51,  997, XX,  50, NEQ,    0,   45,    0,    0, 
AL, C3, 2010081100, 03, HWRF,  72, 381N,  471W,  48,  997, XX,  34, NEQ,  106,  112,   77,    0, 
AL, C3, 2010081100, 03, HWRF,  78, 403N,  453W,  53,  991, XX,  34, NEQ,  123,  132,   94,   38, 
AL, C3, 2010081100, 03, HWRF,  78, 403N,  453W,  53,  991, XX,  50, NEQ,   36,   46,    0,    0, 
AL, C3, 2010081100, 03, HWRF,  84, 422N,  432W,  52,  993, XX,  34, NEQ,  122,  153,   79,   54, 
AL, C3, 2010081100, 03, HWRF,  84, 422N,  432W,  52,  993, XX,  50, NEQ,   43,   49,    0,    0, 
AL, C3, 2010081100, 03, HWRF,  90, 443N,  408W,  59,  991, XX,  34, NEQ,  122,  133,   83,   60, 
AL, C3, 2010081100, 03, HWRF,  90, 443N,  408W,  59,  991, XX,  50, NEQ,    0,    0,   45,   42, 
AL, C3, 2010081100, 03, HWRF,  96, 462N,  383W,  51,  995, XX,  34, NEQ,  121,  136,   70,    0, 
AL, C3, 2010081100, 03, HWRF,  96, 462N,  383W,  51,  995, XX,  50, NEQ,    0,   62,    0,    0, 
AL, C3, 2010081100, 03, HWRF, 102, 481N,  360W,  43,  997, XX,  34, NEQ,  146,  163,   85,   83, 
AL, C3, 2010081100, 03, HWRF, 108, 503N,  336W,  39,  998, XX,  34, NEQ,  151,  187,    0,    0, 
AL, C3, 2010081100, 03, HWRF, 114, 527N,  312W,  38,  998, XX,  34, NEQ,  141,  207,    0,    0, 
AL, C3, 2010081100, 03, HWRF, 120, 553N,  287W,  39,  998, XX,  34, NEQ,  141,  234,    0,    0, 
AL, C3, 2010081100, 03, ICON,   0,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, ICON,  12,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, ICON,  24,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, ICON,  36,   0N,    0W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, ICON,  48,   0N,    0W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, ICON,  60,   0N,    0W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, ICON,  72,   0N,    0W,  57,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, ICON,  84,   0N,    0W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, ICON,  96,   0N,    0W,  58,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, ICON, 108,   0N,    0W,  58,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, ICON, 120,   0N,    0W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, IVCN,   0,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, IVCN,  12,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, IVCN,  24,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, IVCN,  36,   0N,    0W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, IVCN,  48,   0N,    0W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, IVCN,  60,   0N,    0W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, IVCN,  72,   0N,    0W,  57,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, IVCN,  84,   0N,    0W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, IVCN,  96,   0N,    0W,  58,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, IVCN, 108,   0N,    0W,  58,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, IVCN, 120,   0N,    0W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, IVCN, 132,   0N,    0W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LBAR,   0, 246N,  526W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LBAR,  12, 256N,  533W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LBAR,  24, 265N,  535W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LBAR,  36, 277N,  536W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LBAR,  48, 290N,  535W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LBAR,  60, 306N,  526W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LBAR,  72, 327N,  513W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LBAR,  84, 348N,  490W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LBAR,  96, 375N,  466W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LBAR, 108, 400N,  435W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LBAR, 120, 420N,  402W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LGEM,   0, 246N,  526W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LGEM,  12, 254N,  538W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LGEM,  24, 265N,  547W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LGEM,  36, 276N,  553W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LGEM,  48, 292N,  556W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LGEM,  60, 310N,  559W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LGEM,  72, 334N,  553W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LGEM,  84, 359N,  538W,  52,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LGEM,  96, 385N,  518W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LGEM, 108, 407N,  507W,  62,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, LGEM, 120, 424N,  507W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, MRFO,   0, 243N,  532W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, MRFO,  12, 258N,  528W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, MRFO,  24, 271N,  514W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, MRFO,  36, 288N,  512W,  30, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, MRFO,  48, 307N,  504W,  31, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, MRFO,  60, 331N,  496W,  37, 1012, XX,  34, NEQ,    0,   90,    0,    0, 
AL, C3, 2010081100, 03, MRFO,  72, 361N,  475W,  43, 1012, XX,  34, NEQ,    0,   97,   70,    0, 
AL, C3, 2010081100, 03, MRFO,  84, 397N,  444W,  48, 1011, XX,  34, NEQ,   67,  126,   68,   41, 
AL, C3, 2010081100, 03, MRFO,  96, 430N,  404W,  43, 1011, XX,  34, NEQ,    0,   97,    0,    0, 
AL, C3, 2010081100, 03, MRFO, 108, 460N,  363W,  40, 1011, XX,  34, NEQ,   56,  106,   68,    0, 
AL, C3, 2010081100, 03, MRFO, 120, 483N,  317W,  33, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, MRFO, 132, 502N,  268W,  27, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, MRFO, 144, 518N,  217W,  24, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, MRFO, 156, 525N,  166W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, MRFO, 168, 526N,  114W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPI,   0, 246N,  526W,  30,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPI,  12, 263N,  536W,  31,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPI,  24, 281N,  536W,  32,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPI,  36, 304N,  527W,  34,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPI,  48, 330N,  510W,  37,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPI,  60, 360N,  484W,  40,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPI,  72, 396N,  447W,  44,    0,   ,  34, NEQ,    0,   22,    0,    0, 
AL, C3, 2010081100, 03, NGPI,  84, 426N,  399W,  49,    0,   ,  34, NEQ,    0,   49,    4,    1, 
AL, C3, 2010081100, 03, NGPI,  96, 450N,  353W,  50,    0,   ,  34, NEQ,    0,   19,   36,   23, 
AL, C3, 2010081100, 03, NGPI, 108, 464N,  314W,  48,    0,   ,  34, NEQ,    0,    0,   41,   34, 
AL, C3, 2010081100, 03, NGPI, 120, 474N,  277W,  45,    0,   ,  34, NEQ,    0,    0,    6,    4, 
AL, C3, 2010081100, 03, NGPI, 132, 490N,  236W,  40,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPI, 144, 513N,  189W,  35,    0,   ,  34, NEQ,    0,    0,   22,   20, 
AL, C3, 2010081100, 03, NGPS,   0, 238N,  535W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS,   6, 242N,  544W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS,  12, 254N,  548W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS,  18, 263N,  548W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS,  24, 271N,  547W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS,  30, 281N,  544W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS,  36, 293N,  541W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS,  42, 306N,  535W,  23, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS,  48, 317N,  526W,  24, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS,  54, 330N,  519W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS,  60, 341N,  504W,  25, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS,  66, 361N,  493W,  25, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS,  72, 375N,  478W,  26, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS,  78, 390N,  460W,  30, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS,  84, 402N,  437W,  33, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS,  90, 414N,  413W,  37, 1013, XX,  34, NEQ,    0,   55,    0,    0, 
AL, C3, 2010081100, 03, NGPS,  96, 422N,  391W,  36, 1014, XX,  34, NEQ,    0,   84,   44,   32, 
AL, C3, 2010081100, 03, NGPS, 102, 433N,  372W,  38, 1012, XX,  34, NEQ,    0,    0,   69,   22, 
AL, C3, 2010081100, 03, NGPS, 108, 437N,  356W,  35, 1013, XX,  34, NEQ,    0,    0,   75,    0, 
AL, C3, 2010081100, 03, NGPS, 114, 443N,  338W,  35, 1013, XX,  34, NEQ,    0,    0,   60,    0, 
AL, C3, 2010081100, 03, NGPS, 120, 447N,  320W,  36, 1014, XX,  34, NEQ,    0,    0,   58,   65, 
AL, C3, 2010081100, 03, NGPS, 126, 450N,  300W,  33, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGPS, 132, 452N,  281W,  34, 1014, XX,  34, NEQ,    0,    0,    0,   44, 
AL, C3, 2010081100, 03, NGPS, 138, 454N,  264W,  39, 1011, XX,  34, NEQ,    0,    0,   84,   60, 
AL, C3, 2010081100, 03, NGPS, 144, 453N,  245W,  39, 1010, XX,  34, NEQ,    0,    0,  115,  111, 
AL, C3, 2010081100, 03, NGX2,   0, 246N,  526W,  30,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGX2,  12, 262N,  535W,  30,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGX2,  24, 280N,  534W,  33,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGX2,  36, 302N,  524W,  35,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGX2,  48, 321N,  505W,  36,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, NGX2,  60, 339N,  479W,  38,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHF5,   0,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHF5,  12,   0N,    0W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHF5,  24,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHF5,  36,   0N,    0W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHF5,  48,   0N,    0W,  45,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHF5,  60,   0N,    0W,  47,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHF5,  72,   0N,    0W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHF5,  84,   0N,    0W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHF5,  96,   0N,    0W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHF5, 108,   0N,    0W,  57,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHF5, 120,   0N,    0W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHFR,  12,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHFR,  24,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHFR,  36,   0N,    0W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHFR,  48,   0N,    0W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHFR,  60,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHFR,  72,   0N,    0W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHIP,   0, 246N,  526W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHIP,  12, 254N,  538W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHIP,  24, 265N,  547W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHIP,  36, 276N,  553W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHIP,  48, 292N,  556W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHIP,  60, 310N,  559W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHIP,  72, 334N,  553W,  56,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHIP,  84, 359N,  538W,  61,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHIP,  96, 385N,  518W,  63,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHIP, 108, 407N,  507W,  63,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, SHIP, 120, 424N,  507W,  61,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, TVCC,   0, 246N,  526W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, TVCC,  12, 259N,  526W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, TVCC,  24, 275N,  522W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, TVCC,  36, 292N,  517W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, TVCC,  48, 312N,  507W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010081100, 03, TVCC,  60, 343N,  494W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
